Field,Type,Required,Constraints / Notes
_id,ObjectId,yes,
studentId,String,yes,unique
name,String,yes,
email,String,yes,may mirror users.email
phone,String,no,
class,String,yes,e.g. 10-A
section,String,no,
dateOfBirth,Date,no,
gender,String,no,"enum: male, female, other"
address,String,no,
parentName,String,no,
parentPhone,String,no,
admissionDate,Date,no,default Date.now
status,String,no,"enum: active, inactive (default active)"
performance.gpa,Number,no,default 0
performance.attendance,Number,no,default 0
performance.rank,Number,no,
